Shipsure Account Description,Level,Shipsure Account Number,Account Type,HFM Account Number,HFM Account Description,,,,
PIRAEUS BANK - EUR #2,3,1214609,Balance Sheet,BS28300,Other Bank Balances,,,,
PIRAEUS BANK - USD,3,1214610,Balance Sheet,BS28300,Other Bank Balances,,,,
BANCPOST - USD,3,1214611,Balance Sheet,BS28300,Other Bank Balances,,,,
BANCPOST - EURO,3,1214612,Balance Sheet,BS28300,Other Bank Balances,,,,
PIRAEUS BANK - PAYROLL EUR,3,1214615,Balance Sheet,BS28300,Other Bank Balances,,,,
PLN Dtsch Bank A/C PLN,3,1214620,Balance Sheet,BS28300,Other Bank Balances,,,,
PLN Dtsch Bank A/C USD,3,1214621,Balance Sheet,BS28300,Other Bank Balances,,,,
PLN Dtsch Bank A/C EUR,3,1214622,Balance Sheet,BS28300,Other Bank Balances,,,,
PLN Dtsch Bank A/C USD:allot,3,1214623,Balance Sheet,BS28300,Other Bank Balances,,,,
Caixa Economica Federal,3,1214624,Balance Sheet,BS28300,Other Bank Balances,,,,
Banco do Brasil,3,1214625,Balance Sheet,BS28300,Other Bank Balances,,,,
Citibank Brasil Office,3,1214626,Balance Sheet,BS28300,Other Bank Balances,,,,
Citibank Brasil Crew,3,1214627,Balance Sheet,BS28300,Other Bank Balances,,,,
Banco do Brasil Securities,3,1214628,Balance Sheet,BS28300,Other Bank Balances,,,,
Bank Alfalah Ltd - PKR,3,1214629,Balance Sheet,BS28300,Other Bank Balances,,,,
CITIBANK PAYROLL USD 1,3,1214630,Balance Sheet,BS28300,Other Bank Balances,,,,
CITIBANK PAYROLL USD 2,3,1214631,Balance Sheet,BS28300,Other Bank Balances,,,,
CITIBANK PAYROLL USD 3,3,1214632,Balance Sheet,BS28300,Other Bank Balances,,,,
CITIBANK PAYROLL USD 4,3,1214633,Balance Sheet,BS28300,Other Bank Balances,,,,
CITIBANK PAYROLL USD 5,3,1214634,Balance Sheet,BS28300,Other Bank Balances,,,,
CITIBANK PAYROLL USD 6,3,1214635,Balance Sheet,BS28300,Other Bank Balances,,,,
CITIBANK PAYROLL USD 7,3,1214636,Balance Sheet,BS28300,Other Bank Balances,,,,
CITIBANK PAYROLL USD 8,3,1214637,Balance Sheet,BS28300,Other Bank Balances,,,,
CITIBANK PAYROLL USD 9,3,1214638,Balance Sheet,BS28300,Other Bank Balances,,,,
CITIBANK PAYROLL USD 10,3,1214639,Balance Sheet,BS28300,Other Bank Balances,,,,
CITIBANK PAYROLL USD 11,3,1214640,Balance Sheet,BS28300,Other Bank Balances,,,,
CITIBANK PAYROLL USD 12,3,1214641,Balance Sheet,BS28300,Other Bank Balances,,,,
CITIBANK PAYROLL USD 13,3,1214642,Balance Sheet,BS28300,Other Bank Balances,,,,
CITIBANK PAYROLL USD 14,3,1214643,Balance Sheet,BS28300,Other Bank Balances,,,,
CITIBANK PAYROLL USD 15,3,1214644,Balance Sheet,BS28300,Other Bank Balances,,,,
CITIBANK PAYROLL USD 16,3,1214645,Balance Sheet,BS28300,Other Bank Balances,,,,
CITIBANK PAYROLL USD 17,3,1214646,Balance Sheet,BS28300,Other Bank Balances,,,,
CITIBANK PAYROLL USD 18,3,1214647,Balance Sheet,BS28300,Other Bank Balances,,,,
CITIBANK PAYROLL USD 19,3,1214648,Balance Sheet,BS28300,Other Bank Balances,,,,
CITIBANK PAYROLL USD 20,3,1214649,Balance Sheet,BS28300,Other Bank Balances,,,,
CITIBANK PAYROLL EUR 1,3,1214650,Balance Sheet,BS28300,Other Bank Balances,,,,
CITIBANK PAYROLL EUR 2,3,1214651,Balance Sheet,BS28300,Other Bank Balances,,,,
CITIBANK PAYROLL EUR 3,3,1214652,Balance Sheet,BS28300,Other Bank Balances,,,,
CITIBANK PAYROLL EUR 4,3,1214653,Balance Sheet,BS28300,Other Bank Balances,,,,
CITIBANK PAYROLL EUR 5,3,1214654,Balance Sheet,BS28300,Other Bank Balances,,,,
CITIBANK PAYROLL EUR 6,3,1214655,Balance Sheet,BS28300,Other Bank Balances,,,,
CITIBANK PAYROLL EUR 7,3,1214656,Balance Sheet,BS28300,Other Bank Balances,,,,
CITIBANK PAYROLL EUR 8,3,1214657,Balance Sheet,BS28300,Other Bank Balances,,,,
CITIBANK PAYROLL EUR 9,3,1214658,Balance Sheet,BS28300,Other Bank Balances,,,,
CITIBANK PAYROLL EUR 10,3,1214659,Balance Sheet,BS28300,Other Bank Balances,,,,
CITIBANK PAYROLL GBP,3,1214660,Balance Sheet,BS28300,Other Bank Balances,,,,
IFIC BANK LIMITED,3,1214670,Balance Sheet,BS28300,Other Bank Balances,,,,
PLN Dtsch BANK A/C GBP,3,1214671,Balance Sheet,BS28300,Other Bank Balances,,,,
Swedbank Account EUR,3,1214672,Balance Sheet,BS28300,Other Bank Balances,,,,
Swedbank Account USD,3,1214673,Balance Sheet,BS28300,Other Bank Balances,,,,
Associated Companies,3,1220000,Balance Sheet,BS23000,Associated Company Receivables,,,,
Associated Companies - USD,3,1220001,Balance Sheet,BS23000,Associated Company Receivables,,,,
Right-to-Use Buildings Acc Dep,4,1225100,Balance Sheet,BS09522,Right-to-use Buildings Accum Depreciation,,,,
Right-to-Use Buildings Depn fo,4,1225102,Balance Sheet,BS09522,Right-to-use Buildings Accum Depreciation,,,,
Right-to-Use Buildings Depn on,4,1225103,Balance Sheet,BS09522,Right-to-use Buildings Accum Depreciation,,,,
Right-to-Use Land Acc Depn,4,1225150,Balance Sheet,BS09521,Right-to-use Land accum Depreciation,,,,
Right-to-Use Land Depn for yea,4,1225152,Balance Sheet,BS09521,Right-to-use Land accum Depreciation,,,,
Right-to-Use Land Depn on Term,4,1225153,Balance Sheet,BS09521,Right-to-use Land accum Depreciation,,,,
Right-to-Use Office & Bus Equi,4,1225200,Balance Sheet,BS09540,Right-to-use Office and Business Equipment Accum Depn,,,,
Right-to-Use Office & Bus Equi,4,1225202,Balance Sheet,BS09540,Right-to-use Office and Business Equipment Accum Depn,,,,
Right-to-Use Office & Bus Equi,4,1225203,Balance Sheet,BS09540,Right-to-use Office and Business Equipment Accum Depn,,,,
Right-to-Use Motor Vehicles Ac,4,1225500,Balance Sheet,BS09610,Right-to-use Motor Vehicle Accum Depn,,,,
Right-to-Use Motor Vehicles De,4,1225502,Balance Sheet,BS09610,Right-to-use Motor Vehicle Accum Depn,,,,
Right-to-Use Motor Vehicles De,4,1225503,Balance Sheet,BS09610,Right-to-use Motor Vehicle Accum Depn,,,,
Stock,3,1230000,Balance Sheet,BS24120,Finished Goods,,,,
Stock in Transit,3,1230005,Balance Sheet,BS24120,Finished Goods,,,,
Stock - Finished Goods,3,1230010,Balance Sheet,BS24120,Finished Goods,,,,
Warehouse Stock,3,1230020,Balance Sheet,BS24120,Finished Goods,,,,
Work in Progress,3,1231000,Balance Sheet,BS24500,Work in Progress ,,,,
Accrued Income - 3rd Party,4,1240000,Balance Sheet,BS25100,Accrued Income,,,,
Uninvoiced Pre Paid Costs,4,1240100,Balance Sheet,BS25200,Uninvoiced Pre Paid Costs,,,,
Rent Prepayment,4,1242101,Balance Sheet,BS25310,Rent Prepayments ,,,,
Other Prepayment,4,1242102,Balance Sheet,BS25320,Other Prepayment,,,,
Other Prepayments - USD,4,1242103,Balance Sheet,BS25320,Other Prepayment,,,,
Caisse Maladie - Monaco SAM,3,1242104,Balance Sheet,BS32400,Social Security Liabilities ,,,,
Advances & Deposits,4,1243000,Balance Sheet,BS25330,Advances and Deposits ,,,,
Advances & Deposits - Eur,4,1243001,Balance Sheet,BS25330,Advances and Deposits ,,,,
Deposit - Insurance,4,1243002,Balance Sheet,BS25330,Advances and Deposits ,,,,
Deposit - Telephone,4,1243003,Balance Sheet,BS25330,Advances and Deposits ,,,,
Deposit - Rent,4,1243004,Balance Sheet,BS25330,Advances and Deposits ,,,,
Bank Guarantee,4,1243005,Balance Sheet,BS22100,Guarantees ,,,,
Deposit against Bank Guarantee,4,1243006,Balance Sheet,BS22100,Guarantees ,,,,
Interest Receivable,3,1243400,Balance Sheet,BS22400,Interest Receivable External ,,,,
Staff Loans,3,1243801,Balance Sheet,BS21100,Staff Loans,,,,
Staff Season Tickets,3,1243802,Balance Sheet,BS21200,Staff Season Tickets ,,,,
Travel Accounts - USD,3,1243803,Balance Sheet,BS21300,Travel Accounts,,,,
Crew Current Accounts,3,1243804,Balance Sheet,BS21400,Crew Current Accounts ,,,,
Legal Claims,3,1243805,Balance Sheet,BS21500,Legal Claims Receivable,,,,
Client Re-Invoicing,3,1243806,Balance Sheet,BS21600,Client Re-Invoicing,,,,
Other Commissions,3,1243807,Balance Sheet,BS21700,Other Commissions,,,,
Derivative Balances,3,1243808,Balance Sheet,BS21820,FX Derivative Asset Current ,,,,
Other Debtors,3,1243809,Balance Sheet,BS21900,Other Debtors,,,,
Uninvoiced Debtors,3,1243810,Balance Sheet,BS22000,Uninvoiced Debtors External ,,,,
Guarantees,3,1243811,Balance Sheet,BS22100,Guarantees ,,,,
S&P Commissions,3,1243812,Balance Sheet,BS22200,S&P Commissions,,,,
KGAL Success Fee,3,1243813,Balance Sheet,BS22300,KGAL Success Fee ,,,,
Travel Accounts - GBP,3,1243814,Balance Sheet,BS21300,Travel Accounts,,,,
Travel Accounts - EUR,3,1243815,Balance Sheet,BS21300,Travel Accounts,,,,
Uninvoiced Debtors - Intercomp,3,1243816,Balance Sheet,BS21900,Other Debtors,,,,
Uninvoiced Debtors - Third Par,3,1243817,Balance Sheet,BS22000,Uninvoiced Debtors External ,,,,
Shareholder Loans,3,1243818,Balance Sheet,BS14100,Long Term Loans Receivable External,,,,
Travel Accounts - CAD,3,1243820,Balance Sheet,BS21300,Travel Accounts,,,,
Travel Account Visa - GBP,3,1243821,Balance Sheet,BS21300,Travel Accounts,,,,
Staff Loans - GBP,3,1243822,Balance Sheet,BS21100,Staff Loans,,,,
Staff Loans - EUR,3,1243823,Balance Sheet,BS21100,Staff Loans,,,,
GUARANTEES - EURO,3,1243824,Balance Sheet,BS22100,Guarantees ,,,,
Travel Accounts - NOK,3,1243825,Balance Sheet,BS21300,Travel Accounts,,,,
Staff Loans - NOK,3,1243826,Balance Sheet,BS21100,Staff Loans,,,,
Staff Loans - SGD,3,1243827,Balance Sheet,BS21100,Staff Loans,,,,
Travel Accounts - SGD,3,1243828,Balance Sheet,BS21300,Travel Accounts,,,,
Credit Card Control Account,3,1243829,Balance Sheet,BS21900,Other Debtors,,,,
Staff Loans - UAH,3,1243830,Balance Sheet,BS21100,Staff Loans,,,,
Travel Accounts - UAH,3,1243831,Balance Sheet,BS21300,Travel Accounts,,,,
Staff Loans - INR,3,1243832,Balance Sheet,BS21100,Staff Loans,,,,
Staff Loans - PHP,3,1243833,Balance Sheet,BS21100,Staff Loans,,,,
Staff Advances - AED,3,1243834,Balance Sheet,BS21100,Staff Loans,,,,
Travel Accounts - AED,3,1243835,Balance Sheet,BS21300,Travel Accounts,,,,
Travel Account PLN,3,1243836,Balance Sheet,BS21300,Travel Accounts,,,,
Staff Medical Claim,3,1243837,Balance Sheet,BS21300,Travel Accounts,,,,
Travel Accounts - BRL,3,1243838,Balance Sheet,BS21300,Travel Accounts,,,,
Travel Accounts - TRY,3,1243839,Balance Sheet,BS21300,Travel Accounts,,,,
Travel Accounts - DKK,3,1243840,Balance Sheet,BS21300,Travel Accounts,,,,
Travel Accounts - RUR,3,1243841,Balance Sheet,BS21300,Travel Accounts,,,,
Crew Cash Advance - DKK,3,1243842,Balance Sheet,BS21300,Travel Accounts,,,,
Crew Slop Account - DKK,3,1243843,Balance Sheet,BS21300,Travel Accounts,,,,
Staff Loans USD ,3,1243844,Balance Sheet,BS21100,Staff Loans,,,,
Interest Rate Hedge Asset Curr,3,1243851,Balance Sheet,BS21810,Interest Rate Hedge Asset Current ,,,,
Other Derivative Current Asset,3,1243852,Balance Sheet,BS21830,Other Derivative Current Asset,,,,
Shareholder Loan External (EUR,3,1243853,Balance Sheet,BS14100,Long Term Loans Receivable External,,,,
VAT RECEIVABLE,3,1243900,Balance Sheet,BS22500,VAT Receivable,,,,
VAT Control Account,3,1244000,Balance Sheet,BS22500,VAT Receivable,,,,
VAT Control A/c - EUR,3,1244010,Balance Sheet,BS22500,VAT Receivable,,,,
VAT Control A/c - NOK,3,1244020,Balance Sheet,BS22500,VAT Receivable,,,,
VAT Control A/C PLN,3,1244021,Balance Sheet,BS22500,VAT Receivable,,,,
GST Control A/c - SGD,3,1244022,Balance Sheet,BS22500,VAT Receivable,,,,
GST Control A/C - USD,3,1244023,Balance Sheet,BS22500,VAT Receivable,,,,
Service Tax control a/c - MYR,3,1244024,Balance Sheet,BS22500,VAT Receivable,,,,
VAT - Reverse Charge Input,3,1244030,Balance Sheet,BS22500,VAT Receivable,,,,
VAT - Reverse Charge Output,3,1244040,Balance Sheet,BS22500,VAT Receivable,,,,
VAT Input,3,1244100,Balance Sheet,BS22500,VAT Receivable,,,,
VAT Input - EUR,3,1244110,Balance Sheet,BS22500,VAT Receivable,,,,
VAT Recoverable 7% Ger,3,1244111,Balance Sheet,BS22500,VAT Receivable,,,,
VAT Recoverable 19% Ger,3,1244112,Balance Sheet,BS22500,VAT Receivable,,,,
VAT Recoverable 5% Ger,3,1244113,Balance Sheet,BS22500,VAT Receivable,,,,
VAT Recoverable 16% Ger,3,1244114,Balance Sheet,BS22500,VAT Receivable,,,,
VAT Input - NOK,3,1244120,Balance Sheet,BS22500,VAT Receivable,,,,
VAT Input - INR,3,1244121,Balance Sheet,BS22500,VAT Receivable,,,,
Service Tax Input - MYR,3,1244128,Balance Sheet,BS22500,VAT Receivable,,,,
GST Input - SGD,3,1244130,Balance Sheet,BS22500,VAT Receivable,,,,
VAT Input - UAH,3,1244140,Balance Sheet,BS22500,VAT Receivable,,,,
GST Input - USD,3,1244141,Balance Sheet,BS22500,VAT Receivable,,,,
VAT Input - BGN,3,1244142,Balance Sheet,BS22500,VAT Receivable,,,,
VAT Input - ROL,3,1244143,Balance Sheet,BS22500,VAT Receivable,,,,
VAT Input - PLN,3,1244144,Balance Sheet,BS22500,VAT Receivable,,,,
VAT Input - HRK,3,1244145,Balance Sheet,BS22500,VAT Receivable,,,,
Social Tax Refundable RUR,3,1244146,Balance Sheet,BS22500,VAT Receivable,,,,
Deferred Input VAT,3,1244147,Balance Sheet,BS22500,VAT Receivable,,,,
VAT Output,3,1244200,Balance Sheet,BS32900,VAT Payable ,,,,
VAT Output - Eur,3,1244210,Balance Sheet,BS32900,VAT Payable ,,,,
VAT Output 16% - EUR,3,1244211,Balance Sheet,BS32900,VAT Payable ,,,,
VAT Output - NOK,3,1244220,Balance Sheet,BS32900,VAT Payable ,,,,
GST Output - SGD,3,1244230,Balance Sheet,BS32900,VAT Payable ,,,,
VAT Output - UAH,3,1244240,Balance Sheet,BS32900,VAT Payable ,,,,
VAT Output - INR,3,1244241,Balance Sheet,BS32900,VAT Payable ,,,,
GST OUTPUT - USD,3,1244242,Balance Sheet,BS32900,VAT Payable ,,,,
VAT Output - PLN,3,1244243,Balance Sheet,BS32900,VAT Payable ,,,,
VAT Output - HRK,3,1244244,Balance Sheet,BS32900,VAT Payable ,,,,
VAT Output - RUB,3,1244245,Balance Sheet,BS32900,VAT Payable ,,,,
Deferred Output VAT,3,1244247,Balance Sheet,BS32900,VAT Payable ,,,,
Service Tax Output - MYR,3,1244248,Balance Sheet,BS32900,VAT Payable ,,,,
GST (GOVERNMENT SALES TAX),3,1244300,Balance Sheet,BS22500,VAT Receivable,,,,
Stock Catering,3,2020100,Balance Sheet,BS24130,Catering Inventory,,,,
Inventory Provision,3,2020101,Balance Sheet,BS24140,Inventory Provision,,,,
Stock Cleaning Materials,3,2020102,Balance Sheet,BS24150,G & A Cleaning Materials Stock ,,,,
Stock Consumables,3,2020103,Balance Sheet,BS24160,G & A Consumables Stock ,,,,
CREW WELFARE FUND,3,2021100,Balance Sheet,BS21400,Crew Current Accounts ,,,,
Vessel Cash A/c - EUR,3,2040100,N/A,Do Not Use,0,,,,
Vessel Cash A/c - USD,3,2040110,N/A,Do Not Use,0,,,,
Slop Chest,3,2040200,N/A,Do Not Use,0,,,,
BGI (Novorossiysk) Invoices,3,2041010,N/A,Do Not Use,0,,,,
BGI (Riga) Invoices,3,2041020,N/A,Do Not Use,0,,,,
BGI (Georgia) Invoices,3,2041030,N/A,Do Not Use,0,,,,
Wages Control,3,2042010,Balance Sheet,BS21900,Other Debtors,,,,
Allotments - Wages Control,3,2042011,N/A,Do Not Use,0,,,,
Wages - ROL,3,2042012,N/A,Do Not Use,0,,,,
Refundable by Owners,3,2042020,N/A,Do Not Use,0,,,,
Visa Expenses,3,2042030,N/A,Do Not Use,0,,,,
Boiler Suits,3,2042040,N/A,Do Not Use,0,,,,
Travelling - Tickets,3,2042050,N/A,Do Not Use,0,,,,
D & A Test,3,2042060,N/A,Do Not Use,0,,,,
Licenses,3,2042070,N/A,Do Not Use,0,,,,
Training,3,2042080,N/A,Do Not Use,0,,,,
Medical Test,3,2042090,N/A,Do Not Use,0,,,,
Moreservice,3,2042100,N/A,Do Not Use,0,,,,
Office of Maritime Affairs,3,2042110,N/A,Do Not Use,0,,,,
ITF Payment,3,2042120,N/A,Do Not Use,0,,,,
Payables,3,2042130,Balance Sheet,BS21900,Other Debtors,,,,
Advance Welfare Fund,3,2042140,N/A,Do Not Use,0,,,,
Car / CCSS,3,2051010,Balance Sheet,BS32400,Social Security Liabilities ,,,,
Assedic,3,2051020,Balance Sheet,BS32400,Social Security Liabilities ,,,,
A.G.R.R.,3,2051030,Balance Sheet,BS32400,Social Security Liabilities ,,,,
AGRR AGFF,3,2051040,Balance Sheet,BS32400,Social Security Liabilities ,,,,
C.G.I.C.,3,2051050,Balance Sheet,BS32400,Social Security Liabilities ,,,,
CGIC Prevoyance,3,2051060,Balance Sheet,BS32400,Social Security Liabilities ,,,,
CGIC Apec,3,2051070,Balance Sheet,BS32400,Social Security Liabilities ,,,,
CGIC CET (COT. Except. Tempora,3,2051080,Balance Sheet,BS32400,Social Security Liabilities ,,,,
CGIC AGFF,3,2051090,Balance Sheet,BS32400,Social Security Liabilities ,,,,
Acc. Trav / Responsabilite CIV,3,2051100,Balance Sheet,BS32400,Social Security Liabilities ,,,,
Social Fund,3,2051120,Balance Sheet,BS32400,Social Security Liabilities ,,,,
Prevoyance Cadre,3,2051130,Balance Sheet,BS32400,Social Security Liabilities ,,,,
Prevoyance Non Cadre,3,2051140,Balance Sheet,BS32400,Social Security Liabilities ,,,,
Social Contribution Provision,3,2051150,Balance Sheet,BS32400,Social Security Liabilities ,,,,
Salary Control Account,3,2051160,Balance Sheet,BS32400,Social Security Liabilities ,,,,
V Ships Leisure SAM (Personal),3,2052010,Balance Sheet,BS21100,Staff Loans,,,,
V Ships Marine Travel (Persona,3,2052020,Balance Sheet,BS21100,Staff Loans,,,,
TVA (Fournisseur France) 19.6%,3,2053010,Balance Sheet,BS22500,VAT Receivable,,,,
TVA (Fournisseur Intracom),3,2053011,Balance Sheet,BS22500,VAT Receivable,,,,
TVA (Fournisseur France) 5.5%,3,2053015,Balance Sheet,BS22500,VAT Receivable,,,,
TVA (Fournisseur) France 7%,3,2053016,Balance Sheet,BS22500,VAT Receivable,,,,
TVA (Fournisseur Monaco) 19.6%,3,2053020,Balance Sheet,BS22500,VAT Receivable,,,,
TVA (Fournisseur) Monaco 5.5%,3,2053025,Balance Sheet,BS22500,VAT Receivable,,,,
TVA (Fournisseur) Monaco 7%,3,2053026,Balance Sheet,BS22500,VAT Receivable,,,,
TVA A Reverser Sur C.A France,3,2053030,Balance Sheet,BS22500,VAT Receivable,,,,
TVA A Reverser Sur Loyer,3,2053031,Balance Sheet,BS22500,VAT Receivable,,,,
TVA Intracom A Reverser,3,2053032,Balance Sheet,BS22500,VAT Receivable,,,,
TVA A Reverser Sur C.A. Monaco,3,2053040,Balance Sheet,BS22500,VAT Receivable,,,,
TVA IMMOS (Fournisseur France),3,2053050,Balance Sheet,BS22500,VAT Receivable,,,,
TVA IMMOS (Fournisseur Monaco),3,2053060,Balance Sheet,BS22500,VAT Receivable,,,,
SCES Fiscaux Impt Bic a Payer,3,2053070,Balance Sheet,BS22500,VAT Receivable,,,,
TVA A Recevoir,3,2053080,Balance Sheet,BS22500,VAT Receivable,,,,
Urssaf,3,2061001,Balance Sheet,BS32400,Social Security Liabilities ,,,,
Caisse Maritime D'Af,3,2061002,Balance Sheet,BS32400,Social Security Liabilities ,,,,
Assedic,3,2061003,Balance Sheet,BS32900,VAT Payable ,,,,
Assedic French Crew,3,2061004,Balance Sheet,BS32900,VAT Payable ,,,,
Retraites Unies,3,2061005,Balance Sheet,BS32400,Social Security Liabilities ,,,,
Capricel,3,2061007,Balance Sheet,BS32400,Social Security Liabilities ,,,,
Enim,3,2061008,Balance Sheet,BS32400,Social Security Liabilities ,,,,
Criprevoyance,3,2061009,Balance Sheet,BS32400,Social Security Liabilities ,,,,
Other Social Insurance Payable,3,2061010,Balance Sheet,BS32400,Social Security Liabilities ,,,,
Mutuelle,3,2061011,Balance Sheet,BS32400,Social Security Liabilities ,,,,
USM,3,2061012,Balance Sheet,BS32400,Social Security Liabilities ,,,,
SODEXHO,3,2061014,Balance Sheet,BS32400,Social Security Liabilities ,,,,
Contribution on Leave Payable,3,2061015,Balance Sheet,BS32400,Social Security Liabilities ,,,,
Contribution on Bonuses / Spec,3,2061016,Balance Sheet,BS32400,Social Security Liabilities ,,,,
Fongecif,3,2061020,Balance Sheet,BS32400,Social Security Liabilities ,,,,
Organic,3,2061030,Balance Sheet,BS32400,Social Security Liabilities ,,,,
VAT 19.6% on Fixed Assets,3,2062001,Balance Sheet,BS22500,VAT Receivable,,,,
VAT 19.6% on Goods & Services,3,2062002,Balance Sheet,BS22500,VAT Receivable,,,,
VAT on Suppliers Provision,3,2062003,Balance Sheet,BS22500,VAT Receivable,,,,
VAT Collected,3,2062004,Balance Sheet,BS32900,VAT Payable ,,,,
VAT Credit Carry Forward,3,2062005,Balance Sheet,BS22500,VAT Receivable,,,,
VAT A REDUCCED RATE 7%,3,2062009,Balance Sheet,BS22500,VAT Receivable,,,,
Construction (Wages),3,2062100,Balance Sheet,BS32900,VAT Payable ,,,,
Formation (Salary),3,2062101,Balance Sheet,BS32900,VAT Payable ,,,,
TAXE APPRENTISSAGE,3,2062102,Balance Sheet,BS32900,VAT Payable ,,,,
T.P. (Tax Professional),3,2062103,Balance Sheet,BS32900,VAT Payable ,,,,
Taxe travailleurs Handicapes,3,2062105,Balance Sheet,BS32900,VAT Payable ,,,,
CVAE,3,2062106,Balance Sheet,BS32900,VAT Payable ,,,,
TRANSPETRO / VSUK,3,2064001,Balance Sheet,BS27100,Client Accounts,,,,
DEME,3,2064002,Balance Sheet,BS27100,Client Accounts,,,,
V NAVY EURO,3,2064003,Balance Sheet,BS27100,Client Accounts,,,,
TITAN - ALL VESSELS,3,2064004,Balance Sheet,BS27100,Client Accounts,,,,
V NAVY USD,3,2064005,Balance Sheet,BS27100,Client Accounts,,,,
OCEAN FRESH,3,2064006,Balance Sheet,BS27100,Client Accounts,,,,
OCEAN FRESH USD,3,2064007,Balance Sheet,BS27100,Client Accounts,,,,
BLACKSEA,3,2064008,Balance Sheet,BS27100,Client Accounts,,,,
FRASERS SECRET,3,2064009,Balance Sheet,BS27100,Client Accounts,,,,
FRASERS - ALDABRA,3,2064010,Balance Sheet,BS27100,Client Accounts,,,,
FRASERS PRANA,3,2064011,Balance Sheet,BS27100,Client Accounts,,,,
FRASERS SIRAHMY,3,2064012,Balance Sheet,BS27100,Client Accounts,,,,
FRASERS ULYSSES,3,2064013,Balance Sheet,BS27100,Client Accounts,,,,
VSIOM PAYROLLS,3,2064014,Balance Sheet,BS27100,Client Accounts,,,,
EMS SUPPLIERS,3,2064015,Balance Sheet,BS27100,Client Accounts,,,,
Bourbon Gulf,3,2064016,Balance Sheet,BS27100,Client Accounts,,,,
TITAN,3,2064017,Balance Sheet,BS27100,Client Accounts,,,,
FRASERS SARITA SI,3,2064018,Balance Sheet,BS27100,Client Accounts,,,,
GARDLINE 1,3,2064501,Balance Sheet,BS27100,Client Accounts,,,,
GARDLINE 2,3,2064502,Balance Sheet,BS27100,Client Accounts,,,,
GARDLINE 3,3,2064503,Balance Sheet,BS27100,Client Accounts,,,,
New Wisdom (Eur),3,2065000,Balance Sheet,BS27100,Client Accounts,,,,
New Vision (Eur),3,2065001,Balance Sheet,BS27100,Client Accounts,,,,
Samco America (Eur),3,2065002,Balance Sheet,BS27100,Client Accounts,,,,
HSBC VESSELS - EUR,3,2065003,Balance Sheet,BS27100,Client Accounts,,,,
HSBC VESSELS - USD,3,2065004,Balance Sheet,BS27100,Client Accounts,,,,
HSBC MARIMA,3,2065005,Balance Sheet,BS27100,Client Accounts,,,,
Rene (USD),3,2065006,Balance Sheet,BS27100,Client Accounts,,,,
HSBC COMARGAZ,3,2065007,Balance Sheet,BS27100,Client Accounts,,,,
Jeanne-Marie (USD),3,2065008,Balance Sheet,BS27100,Client Accounts,,,,
Tour Pomerol (Eur),3,2065009,Balance Sheet,BS27100,Client Accounts,,,,
New Wisdom (USD),3,2065010,Balance Sheet,BS27100,Client Accounts,,,,
New Vision (USD),3,2065011,Balance Sheet,BS27100,Client Accounts,,,,
Samco America (USD),3,2065012,Balance Sheet,BS27100,Client Accounts,,,,
Phillipine (Eur),3,2065013,Balance Sheet,BS27100,Client Accounts,,,,
Phillipine (USD),3,2065014,Balance Sheet,BS27100,Client Accounts,,,,
Tour Pomerol (USD),3,2065015,Balance Sheet,BS27100,Client Accounts,,,,
Eole (Eur),3,2065016,Balance Sheet,BS27100,Client Accounts,,,,
Eole (USD),3,2065017,Balance Sheet,BS27100,Client Accounts,,,,
Sichem Croisic (Eur),3,2065018,Balance Sheet,BS27100,Client Accounts,,,,
Sichem Croisic (USD),3,2065019,Balance Sheet,BS27100,Client Accounts,,,,
Pointe Du Casel (Eur),3,2065020,Balance Sheet,BS27100,Client Accounts,,,,
Pointe Du Castel (USD),3,2065021,Balance Sheet,BS27100,Client Accounts,,,,
Tour Margaux (Eur),3,2065022,Balance Sheet,BS27100,Client Accounts,,,,
Tour Margaux (USD),3,2065023,Balance Sheet,BS27100,Client Accounts,,,,
Laperouse (Eur),3,2065024,Balance Sheet,BS27100,Client Accounts,,,,
Laperouse (USD),3,2065025,Balance Sheet,BS27100,Client Accounts,,,,
Samco Europe (Eur),3,2065026,Balance Sheet,BS27100,Client Accounts,,,,
Samco Europe (USD),3,2065027,Balance Sheet,BS27100,Client Accounts,,,,
Samco Raven (Eur),3,2065028,Balance Sheet,BS27100,Client Accounts,,,,
Samco Raven (USD),3,2065029,Balance Sheet,BS27100,Client Accounts,,,,
Pointe Du Castel Sing (Eur),3,2065030,Balance Sheet,BS27100,Client Accounts,,,,
Pointe Du Castel Sing (USD),3,2065031,Balance Sheet,BS27100,Client Accounts,,,,
Tour Margaux Sing (Eur),3,2065032,Balance Sheet,BS27100,Client Accounts,,,,
Tour Margaux Sing (USD),3,2065033,Balance Sheet,BS27100,Client Accounts,,,,
Sichem Mississipi (Eur),3,2065034,Balance Sheet,BS27100,Client Accounts,,,,
Sichem Mississipi (USD),3,2065035,Balance Sheet,BS27100,Client Accounts,,,,
V.S Hansen Cash (CTM) SGD,3,2065036,Balance Sheet,BS27100,Client Accounts,,,,
V.S Hansen Cash (Est DA) SGD,3,2065037,Balance Sheet,BS27100,Client Accounts,,,,
V.S Hansen Cash (Other) SGD,3,2065038,Balance Sheet,BS27100,Client Accounts,,,,
V.S Hansen Cash (CTM) USD,3,2065039,Balance Sheet,BS27100,Client Accounts,,,,
V.S Hansen Cash (Est DA) USD,3,2065040,Balance Sheet,BS27100,Client Accounts,,,,
